filename,width,height,class,xmin,ymin,xmax,ymax
00000116_jpg.rf.61655cc0aa8186c2c56e06978fc85a50.jpg,416,416,icecream,127,20,302,141
00000433_jpg.rf.61680ab3f771129924d22aeb809db923.jpg,416,416,capsicum,136,24,309,169
00000433_jpg.rf.61680ab3f771129924d22aeb809db923.jpg,416,416,capsicum,26,150,217,303
00000433_jpg.rf.61680ab3f771129924d22aeb809db923.jpg,416,416,capsicum,226,162,376,311
00000077_jpg.rf.616f102d0cc01a108abd8e39a17853bd.jpg,416,416,pizza,19,79,222,283
00000077_jpg.rf.616f102d0cc01a108abd8e39a17853bd.jpg,416,416,pizza,143,243,335,406
00000611_jpg.rf.614953d67c784f2c1d4fee96615a5882.jpg,416,416,avocado,109,202,243,367
00000611_jpg.rf.614953d67c784f2c1d4fee96615a5882.jpg,416,416,avocado,234,204,386,356
00000389_jpg.rf.614b0f00cb66a04f49e0f6301579ef1d.jpg,416,416,avocado,77,0,167,51
00000389_jpg.rf.614b0f00cb66a04f49e0f6301579ef1d.jpg,416,416,avocado,0,227,114,353
00000389_jpg.rf.614b0f00cb66a04f49e0f6301579ef1d.jpg,416,416,avocado,212,292,328,398
00000389_jpg.rf.614b0f00cb66a04f49e0f6301579ef1d.jpg,416,416,avocado,133,43,293,203
00000315_jpg.rf.61586d6e7825d1640f4f0ab3edb6960a.jpg,416,416,pasta,98,68,396,360
00001472_jpg.rf.615fb9121ad36666ca1a9dc843c46197.jpg,416,416,pizza,38,162,241,350
00001931_jpg.rf.6164988143aac3736eee56714c36d089.jpg,416,416,tomato,329,0,365,22
00001931_jpg.rf.6164988143aac3736eee56714c36d089.jpg,416,416,egg,94,65,345,317
00001931_jpg.rf.6164988143aac3736eee56714c36d089.jpg,416,416,tomato,354,0,415,48
00001380_jpg.rf.616ff03b566f7c243ff065fef1cb8260.jpg,416,416,egg,86,102,298,314
00001517_jpg.rf.61782c650296769195ab69472689a2a5.jpg,416,416,egg,45,177,229,368
00000062_jpg.rf.619a0717ab8b7de681358d062a2a1dea.jpg,416,416,milk_based_beverage,61,112,345,392
00000993_jpg.rf.619e0b74af0f87f90237a14358c7e6e4.jpg,416,416,bread,301,279,415,415
00000993_jpg.rf.619e0b74af0f87f90237a14358c7e6e4.jpg,416,416,egg,53,59,374,368
00000039--2-_jpg.rf.619b466b79880031d68b5f395128fea2.jpg,416,416,bread_loaf,60,23,182,332
00000039--2-_jpg.rf.619b466b79880031d68b5f395128fea2.jpg,416,416,non_milk_based_beverage,154,171,347,370
00000338_jpg.rf.61c8e57e4f7cca2dedfa078410fa2736.jpg,416,416,avocado,145,173,265,305
00000338_jpg.rf.61c8e57e4f7cca2dedfa078410fa2736.jpg,416,416,avocado,242,139,371,352
00000851_jpg.rf.61a7c6db80796547f1a8b7632aeab734.jpg,416,416,spinach,103,107,346,334
00000304_jpg.rf.61d1f276ccaa27fd082ed26989ae969c.jpg,416,416,avocado,117,127,304,370
